TRIP DATE,Include,NOTES,CLIENT,PICK UP POINT,DELIVERY AREA,Route,WEIGHT (For Billing),CARGO TYPE,REF#,Trip Report,DM Recorded,Complete Docs?,Outlet Count,"BILLING INVOICE
G MOVERS","BILLING INVOICE
JABEZ",OR #,Total Client,Non-Vat Others,Toll,Parking,Others,Others Reason,Total On Us,Fuel,Parking,Permit,Violation,Violation Reason,Toll RFID,Toll Cash,Others,Others Reason,Total Expenses,Date,Counter,REMARKS,BILLING INVOICE,RATE VAT-EX,GAS STATION,DATE,TIME,LTRS,PER LITER,AMOUNT,FUEL / RATE,SALARIES,TOTAL FUEL,Other Expenses,GI,NET / RATE 45^
45293,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,27,-,-,,Aleva Binalonan Pangasinan,45294,N/A,34.02,52.91005291,1800,0,0,1800,0,-1800,0
45293,1,-,A,GMA,GMA,LS-LS-DEW-MD-UST-UST,2T,FROZEN,9622,45299,45301,YES,5,350,-,,0,,,,,,0,,,,,,,,,,0,,28,-,350,6000,Petron Masinag,45293,0.659027778,17.9,53.30726257,954.2,0.159033333,1280,954.2,0,3765.8,0.627633333
45293,,NOT LOADED,R,-,BULACAN,BUL-BANGA-STA MARIA>711 * CAL>711,2T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,29,-,-,0,-,,,,,,,0,0,0,0,0
45293,1,SHARE FUEL,R,STA ROSA,GMA,PASIG>SAN MIG MILLS * ANT>711 KITCHEN,2T,FROZEN,2804472,45295,-,-,,-,9305,,0,,,,,,0,,,,,,,,,,0,,30,-,9305,4663.05,Petron Masinag,45293,0.706944444,30.03,88.7978688,2666.6,0.571857475,1330,2666.6,0,666.45,0.142921478
45293,,SHARE FUEL,R,STA ROSA,CAVITE,GMA*DASMA>711,2T,FROZEN,2804471,45295,-,-,,-,9305,,0,,,,,,0,,,,,,,,,,0,,31,-,9305,4600.9,Petron Masinag,,,,,,,1330,0,0,3270.9,0.710926123
45293,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,,,,,0,,,,,,,,,,,,32,,-,,,,,,,,,,0,0,0,
45294,,TRANSFER TO RAYMUND,A,GMA,GMA,UST-MEZZA-VIS-KATIP,4T,DRY,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,33,-,-,0,-,,,,,,,0,0,0,0,0
45294,1,-,A,GMA,LAGUNA,SB-SW-CARMONA-BIN-NB,4T,DRY,5705,45299,45303,YES,5,351,-,,0,,,,,,0,,,,,,,,,,0,,34,-,351,7500,Petron Masinag,45294,0.943055556,69.5,53.30359712,3704.6,0.493946667,1480,3704.6,0,2315.4,0.30872
45294,,LOADED TODAY DELIVER 1/4,A,GMA,CAMAYA,CAMAYA,2T,COMBI,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,35,-,-,0,-,,,,,,,0,0,0,0,0
45294,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,36,-,-,0,-,,,,,,,0,0,0,0,0
45294,1,-,A,GMA,GMA,C5-BBW-SCAPE-T3-T3,2T,FROZEN,9625,45299,45310,YES,3,367,-,,0,,,,,,0,,,,,,,,,,0,,37,-,367,5500,Petron Masinag,45294,0.804861111,27.08,53.30871492,1443.6,0.262472727,1280,1443.6,0,2776.4,0.5048
45294,,CANCELLED-STIRRING WHEEL LOCK,N,-,ZAMBALES,SUBIC-IBA-,2T,COMBI,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,38,-,-,0,-,,,,,,,0,,0,0,0
45294,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,39,-,-,0,-,,,,,,,0,0,0,0,0
45294,1,-,A,GMA,PAMPANGA,SMP-CLARK,2T,COMBI,9624 / 5702,45299,45301,YES,2,351,-,,0,,,,,,0,,,,,,,,,,0,,40,-,351,,Petron Masinag,45295,0.180555556,31.03,53.29680954,1653.8,0,1380,1653.8,0,-3033.8,0
45294,1,SPECIAL TRIP*APPROVED BY MS BETH,A,GMA,SUBIC-TARLAC,SUBIC-TARLAC,2T,FROZEN,9627,45321,45327,YES,2,400,-,,50,,,50,,,0,,,,,,,,,,50,,41,-,400,15300,Petron Masinag,45295,0.202777778,62.98,53.29787234,3356.7,0.219392157,1730,3356.7,0,10213.3,0.667535948
45294,,SPECIAL TRIP*CO LOAD CAMAYA*PICK-UP CHOI,A,GMA,SUBIC-TARLAC,SUBIC-TARLAC,2T,DRY,5701,45299,45301,YES,2,351,-,,0,,,,,,200,,,,,,,,200,LAGAY,200,45294,42,-,351,,,,,,,,,1830,0,200,-2030,0
45294,,COVERTED TO 2 X 2TON,A,GMA,-,SUBIC-TARLAC,2T,COMBI,-,-,-,-,,-,-,,50,,,50,,,1650,1500,,,,,,,150,LAGAY,1700,45294,43,,,,,,,,,,,,1500,1650,-1650,
45294,,HINDI NAPICK-UP SEE 1-4,R,STA ROSA,-,PASIG>EPICUREAN,2T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,44,-,-,,-,,,,,,,0,0,0,0,0
45294,1,-,R,STA ROSA,GMA,MAKATI>711 N GARCIA*711 SALCEDO 2,2T,FROZEN,2804823,45295,45295,YES,,-,9305,,0,,,,,,0,,,,,,,,,,0,,45,-,9305,4524.17,Petron Masinag,45294,0.809722222,34.41,53.29991282,1834.05,0.405389276,1330,1834.05,0,1360.12,0.300634149
45294,,-,R,STA ROSA,GMA,MLA-PASAY>711 ORENSE*711 HOTEL101*NAIA*LVV*MERVILLE,2T,FROZEN,2804824,45295,45295,YES,,-,9305,,0,,,,,,0,,,,,,,,,,0,,46,-,9305,4524.17,Petron Masinag,45294,0.809722222,34.41,53.29991282,1834.05,0.405389276,1330,1834.05,0,1360.12,0.300634149
45294,,-,A,GMA,GMA,WP-TM-ARANETA-UPT,4T,DRY,5708,45299,45301,YES,4,351,-,,25,,,25,,,0,,,,,,,,,,25,45294,47,-,351,,-,,,,,,,1375,0,0,-1375,0
45294,,,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,,,48,,-,,,,,,,,,0,0,0,0,0
45294,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,49,-,-,,-,,,,,,,0,0,0,0,0
45295,1,-,A,GMA,GMA,LP-AW-WG-BIC-BIC,4T,DRY,5710,45299,45310,YES,5,368,-,,0,,,,,,0,,,,,,,,,,0,,50,-,368,5300,Petron Masinag,45295,0.678472222,33.9,53.3,1806.87,0.340918868,1430,1806.87,0,2063.13,0.389269811
45295,1,-,A,GMA,BULACAN,NLEX-BOC-DD-VERTIS,4T,DRY,5709,45299,45301,YES,4,352,-,,0,,,,,,0,,,,,,,,,,0,,51,-,352,6800,Petron Masinag,45295,0.685416667,34.66,53.30640508,1847.6,0.271705882,1480,1847.6,0,3472.4,0.510647059
45295,1,-,A,GMA,BATANGAS,SLEX CALTEX-LIPA,2T,COMBI,9632 / 5712,45299,45301,YES,2,352,-,,0,,,,,,0,,,,,,,,,,0,,52,-,352,8500,Petron Masinag,45295,0.628472222,47.03,53.30002126,2506.7,0.294905882,1380,2506.7,0,4613.3,0.542741176
45295,1,-,A,GMA,PAMPANGA,CLARK-VISTA-MEGA CALTEX,4T,COMBI,9633 / 5711,45299,45301,YES,3,352,-,,0,,,,,,0,,,,,,,,,,0,,53,-,352,9650,Petron Masinag,45295,0.782638889,73.35,53.30006817,3909.56,0.405135751,1530,3909.56,0,4210.44,0.436315026
45295,1,-,A,GMA,BULACAN,NLEX-BOC-DD-TRI-VERTIS,2T,FROZEN,9635,45299,45301,YES,5,352,-,,0,,,,,,0,,,,,,,,,,0,,54,-,352,7600,Petron Masinag,45295,0.675694444,37.77,53.29997352,2013.14,0.264886842,1330,2013.14,0,4256.86,0.560113158
45295,1,-,A,GMA,CAVITE,COM-SB-SW-CARMONA-NB,2T,FROZEN,9636,45299,45301,YES,5,352,-,,0,,,,,,0,,,,,,,,,,0,,55,-,352,7600,Petron Masinag,45295,0.615972222,20.89,53.30014361,1113.44,0.146505263,1330,1113.44,0,5156.56,0.678494737
45295,1,PICK-UP CHOI,A,GMA,CAMAYA,CAMAYA,2T,COMBI,9626/5706,45299,45301,YES,1,352,-,,0,,,,,,1881,1500,,,,,,381,,,1881,45295,56,-,352,12200,Petron Masinag,45295,0.640277778,84.94,34.90169531,2964.55,0.242995902,2480,4464.55,1881,4874.45,0.399545082
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,57,-,-,,Uno Abucay Bataan,45295,N/A,29.32,51.15961801,1500,0,0,1500,0,-1500,0
45295,,W/ BACKLOAD DUE TO LACK OF TIME - CM ISSUED,N,GMA,ZAMBALES,IBA-SUBIC,2T,FROZEN,-,45303,-,-,6,-,-,,150,,,150,,,1600,1500,,,,,,,100,ENTRY PASS,1750,45295,58,-,-,12500,Petron Masinag,45296,0.245138889,16,53.3,852.8,0.068224,1575,2352.8,1600,8472.2,0.677776
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,66,-,-,,Petron Masinag,45296,0.2625,58.25,53.30128755,3104.8,0,0,3104.8,0,-3104.8,0
45295,,-,-,-,-,-,-,-,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,59,-,-,,-,-,-,-,0,0,0,0,0,0,0,0
45295,,HINDI NAIKARGA DUE TO TRUCK TEMP,R,STA ROSA,GMA,ARMY NAVY,4T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,60,-,-,,-,,,,,,,0,,0,0,0
45295,,HINDI NAIKARGA DUE TO TRUCK TEMP,R,STA ROSA,GMA,ANTIPOLO*TAYTAY*MKNA>711*KAREILA,2T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,61,-,-,,-,,,,,,,0,0,0,0,0
45295,,HINDI NAIKARGA DUE TO TRUCK TEMP,R,STA ROSA,GMA,PASIG>EPICUREAN,2T,FROZEN,-,-,-,-,,-,-,,0,,,,,,0,,,,,,,,,,0,,62,-,-,,-,,,,,,,0,0,0,0,0
